A股代码,B股代码,证券简称,扩位证券简称,上市日期
600499,-,科达制造,科达制造,20021010
600500,-,中化国际,中化国际,20000301
600501,-,航天晨光,航天晨光,20010615
600502,-,安徽建工,安徽建工,20030415
600503,-,华丽家族,华丽家族,20020709
600505,-,西昌电力,西昌电力,20020530
600506,-,香梨股份,香梨股份,20011226
600507,-,方大特钢,方大特钢,20030930
600508,-,上海能源,上海能源,20010829
600509,-,天富能源,天富能源,20020228
600510,-,黑牡丹,黑牡丹,20020618
600511,-,国药股份,国药股份,20021127
600512,-,腾达建设,腾达建设,20021226
600513,-,XD联环药,XD联环药业,20030319
600515,-,ST基础,ST基础,20020806
600516,-,方大炭素,方大炭素,20020830
600517,-,国网英大,国网英大,20031010
600518,-,ST康美,ST康美,20010319
600519,-,贵州茅台,贵州茅台,20010827
600520,-,文一科技,文一科技,20020108
600521,-,华海药业,华海药业,20030304
600522,-,中天科技,中天科技,20021024
600523,-,贵航股份,贵航股份,20011227
600525,-,长园集团,长园集团,20021202
600526,-,菲达环保,菲达环保,20020722
600527,-,江南高纤,江南高纤,20031127
600528,-,中铁工业,中铁工业,20010528
600529,-,山东药玻,山东药玻,20020603
600530,-,交大昂立,交大昂立,20010702
600531,-,豫光金铅,豫光金铅,20020730
600532,-,*ST未来,*ST未来,20021031
600533,-,栖霞建设,栖霞建设,20020328
600535,-,天士力,天士力,20020823
600536,-,中国软件,中国软件,20020517
600537,-,亿晶光电,亿晶光电,20030123
600538,-,国发股份,国发股份,20030114
600539,-,狮头股份,狮头股份,20010824
600540,-,新赛股份,新赛股份,20040107
600543,-,莫高股份,莫高股份,20040324
600545,-,卓郎智能,卓郎智能,20031203
600546,-,山煤国际,山煤国际,20030731
600547,-,山东黄金,山东黄金,20030828
600548,-,深高速,深高速,20011225
600549,-,厦门钨业,厦门钨业,20021107
600550,-,保变电气,保变电气,20010228
600551,-,时代出版,时代出版,20020905
600552,-,凯盛科技,凯盛科技,20021108
600556,-,天下秀,天下秀,20010807
600557,-,康缘药业,康缘药业,20020918
600558,-,大西洋,大西洋,20010227
600559,-,老白干酒,老白干酒,20021029
600560,-,金自天正,金自天正,20020919
600561,-,江西长运,江西长运,20020716
600562,-,国睿科技,国睿科技,20030128
600563,-,法拉电子,法拉电子,20021210
600565,-,迪马股份,迪马股份,20020723
600566,-,济川药业,济川药业,20010822
600567,-,山鹰国际,山鹰国际,20011218
600568,-,ST中珠,ST中珠,20010518
600569,-,安阳钢铁,安阳钢铁,20010820
600570,-,恒生电子,恒生电子,20031216
600571,-,XD信雅达,XD信雅达,20021101
600572,-,康恩贝,康恩贝,20040412
600573,-,惠泉啤酒,惠泉啤酒,20030226
600575,-,淮河能源,淮河能源,20030328
600576,-,祥源文化,祥源文化,20030220
600577,-,精达股份,精达股份,20020911
600578,-,京能电力,京能电力,20020510
600579,-,克劳斯,克劳斯,20020809
600580,-,卧龙电驱,卧龙电驱,20020606
600581,-,八一钢铁,八一钢铁,20020816
600582,-,天地科技,天地科技,20020515
600583,-,海油工程,海油工程,20020205
600584,-,长电科技,长电科技,20030603
600585,-,海螺水泥,海螺水泥,20020207
600586,-,金晶科技,金晶科技,20020815
600587,-,新华医疗,新华医疗,20020927
600588,-,用友网络,用友网络,20010518
600589,-,ST榕泰,ST榕泰,20010612
600590,-,泰豪科技,泰豪科技,20020703
600592,-,龙溪股份,龙溪股份,20020805
600593,-,大连圣亚,大连圣亚,20020711
600594,-,益佰制药,益佰制药,20040323
600595,-,中孚实业,中孚实业,20020626
600596,-,新安股份,新安股份,20010906
600597,-,光明乳业,光明乳业,20020828
600598,-,北大荒,北大荒,20020329
600599,-,ST熊猫,ST熊猫,20010828
600600,-,青岛啤酒,青岛啤酒,19930827
600601,-,*ST方科,*ST方科,19901219
600602,900901,云赛智联,云赛智联,19901219
600603,-,广汇物流,广汇物流,19920113
600604,900902,市北高新,市北高新,19920327
600605,-,汇通能源,汇通能源,19920327
600606,-,绿地控股,绿地控股,19920327
600608,-,ST沪科,ST沪科,19920327
600609,-,金杯汽车,金杯汽车,19920724
600610,900906,中毅达,中毅达,19920805
600611,900903,大众交通,大众交通,19920807
600612,900905,老凤祥,老凤祥,19920814
600613,900904,神奇制药,神奇制药,19920820
600615,-,*ST丰华,*ST丰华,19920910
600616,-,金枫酒业,金枫酒业,19920929
600617,900913,国新能源,国新能源,19921013
600618,900908,氯碱化工,氯碱化工,19921113
600619,900910,海立股份,海立股份,19921116
600620,-,天宸股份,天宸股份,19921117
600621,-,华鑫股份,华鑫股份,19921202
600622,-,光大嘉宝,光大嘉宝,19921203
600623,900909,华谊集团,华谊集团,19921204
600624,-,复旦复华,复旦复华,19930105
600626,-,申达股份,申达股份,19930107
600628,-,新世界,新世界,19930119
600629,-,华建集团,华建集团,19930209
600630,-,龙头股份,龙头股份,19930209
600633,-,浙数文化,浙数文化,19930304
600635,-,大众公用,大众公用,19930304
600636,-,国新文化,国新文化,19930316
600637,-,东方明珠,东方明珠,19930316
600638,-,新黄浦,新黄浦,19930326
600639,900911,浦东金桥,浦东金桥,19930326
600640,-,新国脉,新国脉,19930407
600641,-,万业企业,万业企业,19930407
600642,-,申能股份,申能股份,19930416
600643,-,爱建集团,爱建集团,19930426
600644,-,乐山电力,乐山电力,19930426
600645,-,中源协和,中源协和,19930504
600647,-,同达创业,同达创业,19930504
600648,900912,外高桥,外高桥,19930504
600649,-,城投控股,城投控股,19930518
600650,900914,锦江在线,锦江在线,19930607
600651,-,飞乐音响,飞乐音响,19901219
600653,-,申华控股,申华控股,19901219
600654,-,*ST中安,*ST中安,19901219
600655,-,豫园股份,豫园股份,19920902
600657,-,信达地产,信达地产,19930524
600658,-,电子城,电子城,19930524
600660,-,福耀玻璃,福耀玻璃,19930610
600661,-,昂立教育,昂立教育,19930614
600662,-,外服控股,外服控股,19930614
600663,900932,陆家嘴,陆家嘴,19930628
600664,-,哈药股份,哈药股份,19930629
600665,-,天地源,天地源,19930709
600666,-,*ST瑞德,*ST瑞德,19930712
600667,-,太极实业,太极实业,19930728
600668,-,尖峰集团,尖峰集团,19930728
600671,-,ST目药,ST目药,19930823
600673,-,东阳光,东阳光,19930917
600674,-,川投能源,川投能源,19930924
600675,-,中华企业,中华企业,19930924
600676,-,交运股份,交运股份,19930928
600678,-,四川金顶,四川金顶,19931008
600679,900916,上海凤凰,上海凤凰,19931008
600681,-,百川能源,百川能源,19931018
600682,-,南京新百,南京新百,19931018
600683,-,京投发展,京投发展,19931025
600684,-,珠江股份,珠江股份,19931028
600685,-,中船防务,中船防务,19931028
600686,-,金龙汽车,金龙汽车,19931108
600688,-,上海石化,上海石化,19931108
600689,900922,上海三毛,上海三毛,19931108
600690,-,海尔智家,海尔智家,19931119
600691,-,阳煤化工,阳煤化工,19931119
600692,-,亚通股份,亚通股份,19931119
600693,-,东百集团,东百集团,19931122
600694,-,大商股份,大商股份,19931122
600696,-,岩石股份,岩石股份,19931206
